"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 29 23:31:48 BST 2023","Tue Aug 29 23:32:32 BST 2023","44443","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for German users","Card Payment - Guest checkout for German users",""
"passed","Wed Apr 26 10:44:50 BST 2023","Wed Apr 26 10:46:01 BST 2023","70914","","Checkout","","Checkout","Registered checkout for US users using card payment","Registered checkout for US users using card payment",""
"passed","Wed Apr 26 10:42:11 BST 2023","Wed Apr 26 10:42:40 BST 2023","29138","","Add Item to basket","","Add Item to basket","Add Item to basket and proceed to checkout","Add Item to basket and proceed to checkout",""
"passed","Mon Aug 14 19:05:06 BST 2023","Mon Aug 14 19:05:16 BST 2023","10181","","Login","","Login","As a user, I can log into my account","As a user, I can log into my account",""
"passed","Tue Aug 29 23:31:05 BST 2023","Tue Aug 29 23:31:48 BST 2023","42673","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for UK users","Card Payment - Guest checkout for UK users",""
"passed","Wed Apr 26 10:44:47 BST 2023","Wed Apr 26 10:46:10 BST 2023","82751","","Paypal Checkout","","Paypal Checkout","Paypal - Guest checkout for US users","Paypal - Guest checkout for US users",""
"passed","Wed Apr 26 10:45:00 BST 2023","Wed Apr 26 10:46:10 BST 2023","70482","","Checkout","","Checkout","Paypal - Registered checkout for US users","Paypal - Registered checkout for US users",""
"passed","Tue Aug 29 23:32:32 BST 2023","Tue Aug 29 23:33:19 BST 2023","46488","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for US users","Card Payment - Guest checkout for US users",""
"passed","Wed Apr 26 10:43:29 BST 2023","Wed Apr 26 10:44:39 BST 2023","69936","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for German users","Card Payment - Guest checkout for German users",""
"passed","Wed Apr 26 10:43:53 BST 2023","Wed Apr 26 10:44:50 BST 2023","56820","","Checkout","","Checkout","Registered checkout for German users using card payment","Registered checkout for German users using card payment",""
"passed","Wed Apr 26 10:46:10 BST 2023","Wed Apr 26 10:46:59 BST 2023","48493","","Checkout","","Checkout","Paypal - Registered checkout for Japan users","Paypal - Registered checkout for Japan users",""
"passed","Wed Apr 26 10:43:37 BST 2023","Wed Apr 26 10:44:47 BST 2023","69978","","Paypal Checkout","","Paypal Checkout","Paypal - Guest checkout for German users","Paypal - Guest checkout for German users",""
"passed","Tue Aug 29 23:40:50 BST 2023","Tue Aug 29 23:41:28 BST 2023","37571","","Add Item to basket","","Add Item to basket","Add Item to basket and proceed to checkout","Add Item to basket and proceed to checkout",""
"passed","Wed Apr 26 10:46:01 BST 2023","Wed Apr 26 10:46:48 BST 2023","46965","","Checkout","","Checkout","Registered checkout for Japan users using card payment","Registered checkout for Japan users using card payment",""
"passed","Wed Apr 26 10:42:50 BST 2023","Wed Apr 26 10:43:57 BST 2023","67502","","Checkout","","Checkout","Paypal - Registered checkout for UK users","Paypal - Registered checkout for UK users",""
"passed","Wed Apr 26 10:44:39 BST 2023","Wed Apr 26 10:45:59 BST 2023","79498","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for US users","Card Payment - Guest checkout for US users",""
"passed","Tue Aug 29 23:40:23 BST 2023","Tue Aug 29 23:41:14 BST 2023","50703","","Register","","Register","As a user, I can Register account","As a user, I can Register account",""
"passed","Tue Aug 29 23:40:09 BST 2023","Tue Aug 29 23:40:49 BST 2023","40422","","Login","","Login","As a user, I can log into my account","As a user, I can log into my account",""
"passed","Wed Apr 26 10:43:34 BST 2023","Wed Apr 26 10:44:05 BST 2023","30664","","Search product","","Search product","Search for product","Search for product",""
"passed","Wed Apr 26 10:42:11 BST 2023","Wed Apr 26 10:42:30 BST 2023","18424","","Login","","Login","As a user, I can log into my account","As a user, I can log into my account",""
"passed","Wed Apr 26 10:47:32 BST 2023","Wed Apr 26 10:48:45 BST 2023","73864","","Paypal Checkout","","Paypal Checkout","Paypal - Guest checkout for Japan users","Paypal - Guest checkout for Japan users",""
"passed","Wed Apr 26 10:42:10 BST 2023","Wed Apr 26 10:42:29 BST 2023","18924","","Forget Password","","Forget Password","As a user, I can request for change forgotten password","As a user, I can request for change forgotten password",""
"passed","Wed Apr 26 10:42:11 BST 2023","Wed Apr 26 10:43:29 BST 2023","77911","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for UK users","Card Payment - Guest checkout for UK users",""
"passed","Wed Apr 26 10:45:59 BST 2023","Wed Apr 26 10:46:52 BST 2023","53562","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for Japan users","Card Payment - Guest checkout for Japan users",""
"passed","Wed Apr 26 10:42:12 BST 2023","Wed Apr 26 10:43:37 BST 2023","85409","","Paypal Checkout","","Paypal Checkout","Paypal - Guest checkout for UK users","Paypal - Guest checkout for UK users",""
"passed","Tue Aug 29 23:41:00 BST 2023","Tue Aug 29 23:41:35 BST 2023","35361","","Search product","","Search product","Search for product","Search for product",""
"passed","Tue Aug 29 23:40:08 BST 2023","Tue Aug 29 23:40:40 BST 2023","32627","","Forget Password","","Forget Password","As a user, I can request for change forgotten password","As a user, I can request for change forgotten password",""
"passed","Tue Aug 29 23:33:19 BST 2023","Tue Aug 29 23:34:02 BST 2023","43730","","Card Checkout","","Card Checkout","Card Payment - Guest checkout for Japan users","Card Payment - Guest checkout for Japan users",""
"passed","Wed Apr 26 10:43:57 BST 2023","Wed Apr 26 10:45:00 BST 2023","62703","","Checkout","","Checkout","Paypal - Registered checkout for German users","Paypal - Registered checkout for German users",""
"passed","Wed Apr 26 10:42:58 BST 2023","Wed Apr 26 10:43:53 BST 2023","55431","","Checkout","","Checkout","Registered checkout for UK users using card payment","Registered checkout for UK users using card payment",""
"passed","Wed Apr 26 10:42:50 BST 2023","Wed Apr 26 10:43:09 BST 2023","19605","","Register","","Register","As a user, I can Register account","As a user, I can Register account",""
